cluster,locations,violations,avg_severity,junction_ratio,violations_norm,severity_norm,junction_norm,congestion_score,risk_level,v_norm,s_norm,j_norm,recommendation
3,4216,175874,3.4669548892137803,0.6407600500782843,1.0,0.0751335300424425,0.6407600500782843,71.48973900223532,Critical,1.0,0.0751335300424425,0.6407600500782843,Immediate enforcement deployment
19,467,19873,4.599857449924817,0.0,0.11297549326206857,0.25741873691469297,0.0,13.213998018591438,Low,0.11297549326206857,0.25741873691469297,0.0,Routine surveillance
1,426,7222,3.2763657795048995,0.08257889104061647,0.04104167851253767,0.04446754296136757,0.08257889104061647,4.812872650395696,Low,0.04104167851253767,0.04446754296136757,0.08257889104061647,Routine surveillance
16,125,7178,3.4131939515331733,0.001,0.04079149371695002,0.06648333894339076,0.001,4.124573096601771,Low,0.04079149371695002,0.06648333894339076,0.001,Routine surveillance
65,151,5818,4.71857670271242,0.0,0.03305850912605902,0.27652078885155595,0.0,8.89653026885244,Low,0.03305850912605902,0.27652078885155595,0.0,Routine surveillance
2,365,5763,3.9473936062088266,0.4826338774839856,0.032745778131574456,0.15243662207704378,0.4826338774839856,13.015170402080345,Low,0.032745778131574456,0.15243662207704378,0.4826338774839856,Routine surveillance
11,337,4699,3.4658262309479806,0.9624003480310349,0.02669585489281856,0.0749519277470605,0.9624003480310349,17.91155470771115,Low,0.02669585489281856,0.0749519277470605,0.9624003480310349,Routine surveillance
6,222,4573,3.997091040785188,0.27616778209177045,0.025979416614544833,0.16043299127678,0.27616778209177045,9.712106510168747,Low,0.025979416614544833,0.16043299127678,0.27616778209177045,Routine surveillance
20,153,4424,3.845280565062318,0.0,0.025132199920395747,0.13600652696095228,0.0,4.908095169247552,Low,0.025132199920395747,0.13600652696095228,0.0,Routine surveillance
73,68,4195,4.708128318221384,0.0,0.02383010177972366,0.27483963285943425,0.0,8.300796928269277,Low,0.02383010177972366,0.27483963285943425,0.0,Routine surveillance
67,51,3526,3.133251754598333,0.0,0.020026155683175072,0.021440346677125244,0.0,1.7375780079186351,Low,0.020026155683175072,0.021440346677125244,0.0,Routine surveillance
36,58,2113,3.2040579417803485,0.0,0.011991812133962585,0.032833136247843675,0.0,1.540337134233847,Low,0.011991812133962585,0.032833136247843675,0.0,Routine surveillance
70,58,1959,4.21240755016167,0.8719211822660098,0.01111616534940581,0.19507764282569107,0.8719211822660098,18.622728725596772,Low,0.01111616534940581,0.19507764282569107,0.8719211822660098,Routine surveillance
48,115,1585,3.594459834669159,0.0,0.008989594586910786,0.09564920911812702,0.0,2.9306059031678227,Low,0.008989594586910786,0.09564920911812702,0.0,Routine surveillance
23,96,1416,3.2222562449683405,0.05034722222222222,0.008028657531130948,0.03576126226361076,0.05034722222222222,2.130959341791459,Low,0.008028657531130948,0.03576126226361076,0.05034722222222222,Routine surveillance
12,83,1415,3.49131258842819,0.6758432374330751,0.00802297151304941,0.0790527093207064,0.6758432374330751,12.59534458529675,Low,0.00802297151304941,0.0790527093207064,0.6758432374330751,Routine surveillance
175,24,1342,3.8762695665032383,0.0,0.0076078921930971734,0.14099268970285417,0.0,3.9812907741571846,Low,0.0076078921930971734,0.14099268970285417,0.0,Routine surveillance
14,128,1314,4.949147338189603,0.0203125,0.007448683686814124,0.31361984524370135,0.0203125,8.592104652301382,Low,0.007448683686814124,0.31361984524370135,0.0203125,Routine surveillance
17,77,1267,3.0839734854922276,0.0,0.007181440836981861,0.013511421639940124,0.0,0.7686719912174148,Low,0.007181440836981861,0.013511421639940124,0.0,Routine surveillance
15,20,1257,3.436897352028216,0.0,0.007124580656166487,0.07029724087340561,0.0,2.1849058612051295,Low,0.007124580656166487,0.07029724087340561,0.0,Routine surveillance
81,70,1235,3.091327494527845,0.0,0.006999488258372662,0.014694689385011284,0.0,0.7873365301276417,Low,0.006999488258372662,0.014694689385011284,0.0,Routine surveillance
7,102,1009,4.207147712798377,0.0,0.005714448171945187,0.19423132949290056,0.0,5.198650127639225,Low,0.005714448171945187,0.19423132949290056,0.0,Routine surveillance
78,27,949,3.8344749761260464,0.0,0.005373287087052937,0.13426789640000747,0.0,3.679094635223363,Low,0.005373287087052937,0.13426789640000747,0.0,Routine surveillance
178,12,941,5.4181568730570815,0.0,0.005327798942400637,0.38908396992068894,0.0,10.046767184561261,Low,0.005327798942400637,0.38908396992068894,0.0,Routine surveillance
155,26,857,3.4036378474749776,0.0,0.004850173423551487,0.06494575180611062,0.0,1.9146542005658547,Low,0.004850173423551487,0.06494575180611062,0.0,Routine surveillance
5,69,776,4.385668177749746,0.0,0.004389605958946949,0.2229554590104178,0.0,5.837262832797261,Low,0.004389605958946949,0.2229554590104178,0.0,Routine surveillance
115,11,682,8.705308910825508,0.0,0.003855120259282424,0.9179901706879338,0.0,23.18106148275529,Low,0.003855120259282424,0.9179901706879338,0.0,Routine surveillance
